CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector,Score
34.6209915372137,0.240423552341762,2015,3.37 kg/km (11.94 lb/mi),2.92 L/100 km (80.6 mpg‑US)[47],684,Airbus A319neo,144,"600 nmi (1,100 km)",7.824603524053522
34.7936648117135,0.241622672303566,2017,3.39 kg/km (12.01 lb/mi),2.93 L/100 km (80.2 mpg‑US)[47],684,Boeing 737 MAX 7,144,"600 nmi (1,100 km)",7.795045704452498
30.036114394056302,0.242226728984325,1995,2.93 kg/km (10.4 lb/mi),2.95 L/100 km (80 mpg‑US)[60],1000,Airbus A319,124,,7.780155952828475
59.3455486011596,0.242226728984325,1999,5.78 kg/km (20.5 lb/mi),2.95 L/100 km (80 mpg‑US)[70],3400,Boeing 767-400ER,245,"3,000 nmi (5,600 km)",7.780155952828475
64.2667372090057,0.245292890110709,1992,6.25 kg/km (22.2 lb/mi),2.98 L/100 km (79 mpg‑US)[66],3400,Airbus A330-300,262,"3,000 nmi (5,600 km)",7.704576327496423
47.2031574430992,0.248437670753154,1982,4.60 kg/km (16.33 lb/mi),3.02 L/100 km (78 mpg‑US)[60],1000,Boeing 757-200,190,,7.627058763053293
39.2531519789983,0.248437670753154,1981,3.79 kg/km (13.4 lb/mi),3.00 L/100 km (78 mpg‑US)[65],3400,Boeing 757-200W,158,"3,400 nmi (6,300 km)",7.627058763053293
29.0545750541824,0.252648478732021,2013,2.8 kg/km (10.1 lb/mi),3.07 L/100 km (76.7 mpg‑US)[47],684,Airbus A220 100,115,"600 nmi (1,100 km)",7.523264058120971
61.449096510760405,0.254975504194026,1997,6 kg/km (21 lb/mi),3.11 L/100 km (76 mpg‑US)[66],3400,Airbus A330-200,241,"3,000 nmi (5,600 km)",7.465903826447857
55.5846599142978,0.254975504194026,1988,5.38 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[64],3400,Boeing 767-300ER,218,"2,151 nmi (3,984 km)",7.465903826447857
55.5846599142978,0.254975504194026,1988,5.39 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[70],3400,Boeing 767-300ER,218,"3,000 nmi (5,600 km)",7.465903826447857
76.747626762402,0.254975504194026,1996,7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[66],7200,Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.465903826447857
76.747626762402,0.254975504194026,1996,7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[71],7200,Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.465903826447857
87.71157344274509,0.254975504194026,2003,8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[76],7200,Boeing 777-300ER,344,"7,200 nmi (13,300 km)",7.465903826447857
74.1978717204617,0.254975504194026,2013,7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[75],7200,Boeing 787-9,291,"6,542 nmi (12,116 km)",7.465903826447857
12.4020085239974,0.25837517758328,1995,1.26 kg/km (4.5 lb/mi),3.15 L/100 km (75 mpg‑US)[36],300,ATR 42-500,48,,7.3821032594130145
28.4212695341608,0.25837517758328,1998,2.77 kg/km (9.8 lb/mi),3.15 L/100 km (75 mpg‑US)[50],1000,Boeing 737-600,110,,7.3821032594130145
32.9952084886756,0.261866734037108,1997,3.21 kg/km (11.4 lb/mi),3.19 L/100 km (74 mpg‑US)[50],684,Boeing 737-700,126,500 nmi (930 km),7.296037812188053
142.455503316187,0.261866734037108,2005,13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[77],7200,Airbus A380,544,"6,000 nmi (11,000 km)",7.296037812188053
110.428843021895,0.265453949571863,1988,10.77 kg/km (38.2 lb/mi),3.24 L/100 km (73 mpg‑US)[64],3400,Boeing 747-400,416,"2,151 nmi (3,984 km)",7.207614407504867
70.51489221543679,0.269140809982583,1992,6.81 kg/km (24.2 lb/mi),3.25 L/100 km (72 mpg‑US)[66],3400,Airbus A340-300,262,"3,000 nmi (5,600 km)",7.116734797136049
51.944176326638605,0.269140809982583,1984,5.01 kg/km (17.8 lb/mi),3.25 L/100 km (72 mpg‑US)[65],3400,Boeing 767-200ER,193,"3,400 nmi (6,300 km)",7.116734797136049
141.298925240856,0.269140809982583,2005,13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[76],7200,Airbus A380,525,"7,200 nmi (13,300 km)",7.116734797136049
78.31997570493179,0.269140809982583,2005,7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[67],7200,Boeing 777-200LR,291,"4,972 nmi (9,208 km)",7.116734797136049
32.9266417115183,0.269890505832117,2004,3.21 kg/km (11.38 lb/mi),3.28 L/100 km (71.8 mpg‑US)[57],684,Embraer E-Jet-195,122,"607 nmi (1,124 km)",7.098255099205889
27.293152561614104,0.272931525616141,2009,2.66 kg/km (9.4 lb/mi),3.33 L/100 km (71 mpg‑US)[52],684,Bombardier CRJ1000,100,500 nmi (930 km),7.023295197742736
65.77649767349,0.272931525616141,1997,6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[66],7200,Airbus A330-200,241,"6,000 nmi (11,000 km)",7.023295197742736
29.0124669743937,0.273702518626356,2018,2.83 kg/km (10.04 lb/mi),3.32 L/100 km (70.8 mpg‑US)[47],684,Embraer E-Jet E2-190,106,"600 nmi (1,100 km)",7.004290533459356
50.106329081329,0.276830547410657,1984,4.83 kg/km (17.1 lb/mi),3.34 L/100 km (70 mpg‑US)[70],3400,Boeing 767-200ER,181,"3,000 nmi (5,600 km)",6.927185895509634
115.16150772283301,0.276830547410657,1988,11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[78],7200,Boeing 747-400,416,"6,000 nmi (11,000 km)",6.927185895509634
112.116371701316,0.276830547410657,2011,10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[76],7200,Boeing 747-8,405,"7,200 nmi (13,300 km)",6.927185895509634
24.9674402935527,0.283720912426735,2020,2.44 kg/km (8.64 lb/mi),3.44 L/100 km (68.3 mpg‑US)[47],684,Embraer E-Jet E2-175,88,"600 nmi (1,100 km)",6.757341198883917
22.227864542090998,0.2849726223345,1998,2.16 kg/km (7.7 lb/mi),3.46 L/100 km (68.0 mpg‑US)[39],300,Bombardier Dash 8 Q400,78,,6.726487058493432
