CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector
32.926641711518286,0.2698905058321171,2004,3.21 kg/km (11.38 lb/mi),3.28 L/100 km (71.8 mpg‑US)[57],684,Embraer E-Jet-195,122,"607 nmi (1,124 km)"
14.813866070115747,0.40037475865177696,1998,1.44 kg/km (5.12 lb/mi),4.86 L/100 km (48.4 mpg‑US)[43],684,Embraer ERJ-135ER,37,"596 nmi (1,104 km)"
15.883719933398362,0.31767439866796726,1996,1.55 kg/km (5.49 lb/mi),3.86 L/100 km (61 mpg‑US)[43],684,Embraer ERJ-145ER,50,"598 nmi (1,107 km)"
4.192385693959472,0.46582063266216356,1991,0.41 kg/km (1.5 lb/mi),5.66 L/100 km (41.6 mpg‑US)[58],684,Pilatus PC-12,9,500 nmi (930 km)
9.783750616956453,0.3156048586114985,1983,0.95 kg/km (3.4 lb/mi),3.83 L/100 km (61.4 mpg‑US)[44],684,Saab 340,31,500 nmi (930 km)
15.85772366509493,0.3171544733018986,1992,1.54 kg/km (5.5 lb/mi),3.85 L/100 km (61.1 mpg‑US)[45],684,Saab 2000,50,500 nmi (930 km)
28.99324511812379,0.295849439980855,2008,2.81 kg/km (10.0 lb/mi),3.59 L/100 km (65.5 mpg‑US)[59],684,Sukhoi SSJ100,98,500 nmi (930 km)
16.079731796406257,0.20615040764623407,2019,1.56 kg/km (5.5 lb/mi),2.50 L/100 km (94 mpg‑US)[46],684,Xian MA700,78,"650 nmi (1,200 km)"
30.03611439405631,0.24222672898432507,1995,2.93 kg/km (10.4 lb/mi),2.95 L/100 km (80 mpg‑US)[60],1000,Airbus A319,124,
21.601859109421774,0.15883719933398363,2015,2.4 kg/km (8.6 lb/mi),1.93 L/100 km (122 mpg‑US)[29],1000,Airbus A319Neo,136,
32.29689719791001,0.21531264798606675,1987,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[60],1000,Airbus A320,150,
37.107073376322134,0.20615040764623407,1996,3.61 kg/km (12.8 lb/mi),2.50 L/100 km (94 mpg‑US)[60],1000,Airbus A321-200,180,
57.35145987265233,0.19573877089642433,1997,5.6 kg/km (19.8 lb/mi),2.37 L/100 km (99 mpg‑US)[60],1000,Airbus A330-200,293,
28.319446804078726,0.31819603150650255,2004,2.75 kg/km (9.8 lb/mi),3.86 L/100 km (60.9 mpg‑US)[35],1000,Antonov An-148 (1190 nmi),89,
29.111315531955302,0.29405369224197275,2010,2.83 kg/km (10.0 lb/mi),3.57 L/100 km (65.9 mpg‑US)[35],1000,Antonov An-158 (1190 nmi),99,
28.42126953416081,0.2583751775832801,1998,2.77 kg/km (9.8 lb/mi),3.15 L/100 km (75 mpg‑US)[50],1000,Boeing 737-600,110,
29.06720747811901,0.23069212284221435,1997,2.82 kg/km (10.0 lb/mi),2.79 L/100 km (84 mpg‑US)[50],1000,Boeing 737-700,126,
28.51036442298263,0.2227372220545518,1997,2.8 kg/km (9.9 lb/mi),2.71 L/100 km (87 mpg‑US)[60],1000,Boeing 737-700,128,
22.420986484499508,0.16014990346071079,2017,2.51 kg/km (8.91 lb/mi),1.94 L/100 km (121 mpg‑US)[29],1000,Boeing 737 MAX-7,140,
32.70060841288388,0.20185560748693754,1997,3.17 kg/km (11.2 lb/mi),2.44 L/100 km (96 mpg‑US)[50],1000,Boeing 737-800,162,
35.23297876135638,0.22020611725847739,1997,3.45 kg/km (12.23 lb/mi),2.68 L/100 km (88 mpg‑US)[60],1000,Boeing 737-800,160,
32.70060841288388,0.20185560748693754,1997,3.18 kg/km (11.3 lb/mi),2.45 L/100 km (96 mpg‑US)[61],1000,Boeing 737-800W,162,
27.2978991968422,0.16850555059779135,2017,2.71 kg/km (9.6 lb/mi),2.04 L/100 km (115 mpg‑US)[61],1000,Boeing 737 MAX-8,162,
35.23297876135638,0.19573877089642433,2006,3.42 kg/km (12.1 lb/mi),2.38 L/100 km (99 mpg‑US)[50],1000,Boeing 737-900ER,180,
35.23297876135638,0.19573877089642433,2006,3.42 kg/km (12.1 lb/mi),2.37 L/100 km (99 mpg‑US)[61],1000,Boeing 737-900ERW,180,
30.06952497736449,0.16705291654091384,2017,2.91 kg/km (10.3 lb/mi),2.02 L/100 km (116 mpg‑US)[61],1000,Boeing 737 MAX-9,180,
47.20315744309924,0.24843767075315393,1982,4.60 kg/km (16.33 lb/mi),3.02 L/100 km (78 mpg‑US)[60],1000,Boeing 757-200,190,
42.68312405010133,0.21341562025050664,1982,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[51],1000,Boeing 757-200,200,
48.04987358627836,0.19773610529332658,1998,4.68 kg/km (16.62 lb/mi),2.40 L/100 km (98 mpg‑US)[51],1000,Boeing 757-300,243,
23.517158153817967,0.18813726523054372,2013,2.28 kg/km (8.1 lb/mi),2.28 L/100 km (103 mpg‑US)[53],1000,Airbus A220-100,125,
26.275441788130177,0.1642215111758136,2015,2.56 kg/km (9.08 lb/mi),2.00 L/100 km (118 mpg‑US)[54],1000,Airbus A220-300,160,
20.598808449060712,0.15258376628933862,2015,2.30 kg/km (8.17 lb/mi),1.85 L/100 km (127 mpg‑US)[29],1000,Airbus A220-300,135,
4.650753196499042,0.5167503551665602,2004,0.71 kg/km (2.52 lb/mi),6.28 L/100 km (37.5 mpg‑US)[62],1000,Quest Kodiak,9,
29.966193276411346,0.1997746218427423,1987,2.91 kg/km (10.3 lb/mi),2.43 L/100 km (97 mpg‑US)[64],3400,Airbus A320,150,"2,151 nmi (3,984 km)"
30.765291763782315,0.1997746218427423,2016,2.99 kg/km (10.6 lb/mi),2.43 L/100 km (97 mpg‑US)[65],3400,Airbus A321NeoLR,154,"3,400 nmi (6,300 km)"
61.44909651076037,0.2549755041940264,1997,6 kg/km (21 lb/mi),3.11 L/100 km (76 mpg‑US)[66],3400,Airbus A330-200,241,"3,000 nmi (5,600 km)"
64.26673720900574,0.24529289011070893,1992,6.25 kg/km (22.2 lb/mi),2.98 L/100 km (79 mpg‑US)[66],3400,Airbus A330-300,262,"3,000 nmi (5,600 km)"
61.930132771250115,0.1997746218427423,2016,6 kg/km (21 lb/mi),2.42 L/100 km (97 mpg‑US)[67],3400,Airbus A330neo-900,310,"3,350 nmi (6,200 km)"
70.51489221543684,0.2691408099825834,1992,6.81 kg/km (24.2 lb/mi),3.25 L/100 km (72 mpg‑US)[66],3400,Airbus A340-300,262,"3,000 nmi (5,600 km)"
29.59570215953935,0.17616489380678185,2017,2.86 kg/km (10.1 lb/mi),2.13 L/100 km (110 mpg‑US)[68],3400,Boeing 737 MAX-8,168,"3,400 nmi (6,300 km)"
30.004859332251883,0.20836707869619364,2017,2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[65],3400,Boeing 737 MAX-9,144,"3,400 nmi (6,300 km)"
110.42884302189502,0.265453949571863,1988,10.77 kg/km (38.2 lb/mi),3.24 L/100 km (73 mpg‑US)[64],3400,Boeing 747-400,416,"2,151 nmi (3,984 km)"
